Date/Time, % CPU Time, % Disk Time, % Used memory, % Used agent RAM, RAM size (bytes)
1773406014000, 4, 0, 0, 49, 14468698112
1773406015000, 12, 1, 1, 49, 14468698112
1773406016000, 7, 0, 1, 49, 14468698112
1773406017000, 19, 9, 1, 49, 14468698112
1773406018000, 16, 8, 0, 49, 14468698112
1773406019000, 13, 84, 0, 49, 14468698112
1773406020000, 12, 56, 0, 49, 14468698112
1773406021000, 3, 0, 0, 49, 14468698112
1773406022000, 4, 0, 0, 49, 14468698112
1773406023000, 4, 0, 0, 49, 14468698112
1773406024000, 4, 3, 0, 49, 14468698112
1773406025000, 6, 1, 0, 49, 14468698112
1773406026000, 4, 0, 0, 49, 14468698112
1773406027000, 4, 1, 0, 49, 14468698112
1773406028000, 15, 10, 0, 49, 14468698112
